Terrain Entity Table (1345)
-------------------------------------
DIR      |Sup Elev  |Grade   |Curve  
26.7776  |0         |0.1400  |0.0000 
26.9392  |0         |0.1100  |0.0000 
27.0253  |0         |-0.0600 |0.0000 
27.2969  |0         |0.0700  |0.0000 
27.4759  |0         |0.0300  |0.0000 
27.6216  |0         |0.0300  |0.0280 
28.2047  |0         |-0.0200 |0.0280 
28.2325  |0         |-0.0200 |0.4270 
28.4365  |0         |0.1300  |0.4270 
28.4486  |0         |0.1300  |0.0000 
28.5174  |0         |0.1300  |0.2200 
28.5293  |0         |-0.0700 |0.2200 
28.6551  |0         |0.1300  |0.2200 
28.6568  |0         |0.1300  |0.0000 
28.7412  |0         |0.2900  |0.0000 
28.9267  |0         |0.3600  |0.0000 
29.0092  |0         |0.2100  |0.0000 
29.1558  |0         |0.3600  |0.0000 
29.3757  |0         |0.2900  |0.0000 
29.8064  |0         |0.3500  |0.0000 
30.0996  |0         |0.3000  |0.0000 
30.6310  |0         |0.3800  |0.0000 
30.7134  |0         |0.2600  |0.0000 
30.9882  |0         |0.3700  |0.0000 
31.1441  |0         |0.2300  |0.0000 
31.3365  |0         |0.3100  |0.0000 
31.6753  |0         |0.3100  |0.0000 
32.2089  |0         |0.1600  |0.0000 
32.3089  |0         |0.0100  |0.0000 
32.7234  |0         |0.0100  |0.2320 
32.8149  |0         |0.0100  |0.0000 
33.4089  |0         |-0.0400 |0.0000 
33.7422  |0         |-0.3800 |0.0000 
33.8755  |0         |-0.5500 |0.0000 
34.0089  |0         |-0.5700 |0.0000 
34.2856  |0         |-0.5700 |0.2730 
34.4721  |0         |-0.5700 |0.0000 
35.8255  |0         |-0.2700 |0.0000 
35.9573  |0         |-0.2700 |0.9590 
36.0089  |0         |-0.1400 |0.9590 
36.1072  |0         |-0.1400 |1.1300 
36.2371  |0         |-0.1400 |0.0000 
36.5422  |0         |-0.0600 |0.0000 
36.6755  |0         |-0.0300 |0.1210 
36.7265  |0         |-0.0300 |0.0000 
36.7471  |0         |-0.0300 |0.5170 
36.8479  |0         |-0.1300 |0.5170 
37.0000  |0         |-0.1300 |1.1310 
37.0998  |0         |-0.2100 |1.1310 
37.1308  |0         |-0.2100 |0.0000 
37.2854  |0         |-0.0100 |0.0000 
37.4430  |0         |-0.0100 |0.8630 
37.5240  |0         |-0.1200 |0.8630 
37.6153  |0         |-0.1200 |1.0690 
37.7625  |0         |-0.1200 |0.0000 
38.6642  |0         |-0.1400 |0.0000 
38.7045  |0         |-0.1400 |0.2600 
38.8734  |0         |-0.1400 |0.5990 
39.0236  |0         |-0.1400 |0.5759 
39.1939  |0         |-0.1400 |0.5650 
39.3443  |0         |-0.1400 |0.7730 
39.3547  |0         |-0.0200 |0.7730 
39.4945  |0         |-0.0200 |0.0000 
39.8545  |0         |0.0300  |0.0000 
40.5380  |0         |-0.0200 |0.0000 
40.9047  |0         |0.0000  |0.0000 
41.6547  |0         |0.0500  |0.0000 
41.7348  |0         |0.0500  |0.0719 
41.9380  |0         |-0.0700 |0.0719 
42.0299  |0         |-0.0700 |0.5110 
42.0880  |0         |0.0200  |0.5110 
42.2123  |0         |0.0200  |0.5220 
42.3947  |0         |0.0200  |0.4910 
42.5214  |0         |-0.0100 |0.4910 
42.6075  |0         |-0.0100 |0.5290 
42.7772  |0         |-0.0100 |0.5870 
42.9369  |0         |-0.0100 |0.0000 
43.2259  |0         |-0.0100 |0.8240 
43.3854  |0         |-0.0100 |0.7930 
43.5449  |0         |-0.0100 |0.9600 
43.7128  |0         |-0.0100 |0.0000 
43.7520  |0         |-0.0100 |0.1560 
43.8214  |0         |0.0900  |0.1560 
